"user_id","segment","score_browser","score_business","score_family","score_bargain_hunter","score_new_customer","score_frequent_flyer","score_senior"
"531931","Business","0","0.500000000000000000000","0.4562500000000000000000","0.000000000000000000000","0","0","0"
"611065","Business","0","0.725000000000000000000","0.4500000000000000000000","0.000000000000000000000","0","0","0"
"586762","Business","0","0.855555555555555556669","0.4638888888888888895850","0.199999999999999999998","0","0","0"
"229330","Business","0","0.641666666666666666668","0.5572916666666666666675","0.000000000000000000000","0","0","0"
"536035","Business","0","0.650000000000000000000","0.4562500000000000000000","0.000000000000000000000","0","0","0"
"513030","Business","0","0.666666666666666666668","0.4791666666666666666675","0.000000000000000000000","0","0","0"
"477730","Frequent Flyer","0","0.660000000000000000000","0.4750000000000000000000","0.120000000000000000000","0","1","0"
"570821","Family","0","0.766666666666666666667","0.9625000000000000000000","0.199999999999999999998","0","0","0"
"517076","Business","0","0.726666666666666666668","0.4791666666666666666675","0.560000000000000000000","0","0","0"
"585248","New Customer","0","0.666666666666666666668","0.9791666666666666666675","0.000000000000000000000","1","0","0"
"539267","Business","0","0.933333333333333333332","0.5458333333333333333325","0.000000000000000000000","0","0","0"
"611954","Business","0","0.666666666666666666668","0.4604166666666666666675","0.300000000000000000000","0","0","0"
"577541","Bargain Hunter","0","0.755555555555555556667","0.4555555555555555562500","0.800000000000000000002","0","0","0"
"524607","Frequent Flyer","0","0.726666666666666666668","0.5641666666666666666675","0.000000000000000000000","0","1","0"
"549579","New Customer","0","0.516666666666666666668","0.4791666666666666666675","0.000000000000000000000","1","0","0"
"547266","Business","0","0.749999999999999999999","0.5437500000000000000000","0.199999999999999999998","0","0","0"
"532119","Frequent Flyer","0","0.700000000000000000001","0.5645833333333333333325","0.000000000000000000000","0","1","0"
"562032","Business","0","0.700000000000000000000","0.5000000000000000000000","0.600000000000000000000","0","0","0"
"545879","Business","0","0.633333333333333333332","0.4416666666666666666650","0.399999999999999999998","0","0","0"
"630176","Family","0","0.666666666666666666668","0.9791666666666666666675","0.000000000000000000000","0","0","0"
"517324","New Customer","0","0.516666666666666666668","0.5541666666666666666675","0.000000000000000000000","1","0","1"
"539953","Family","0","0.816666666666666666668","0.9791666666666666666675","0.000000000000000000000","0","0","0"
"577944","New Customer","0","0.550000000000000000000","0.6000000000000000000000","0.600000000000000000000","1","0","1"
"565601","Browser","1","0","0","0","0","0","0"
"531109","Family","0","0.816666666666666666668","0.9541666666666666666675","0.300000000000000000000","0","0","0"
"555478","Business","0","0.655555555555555556668","0.4638888888888888895850","0.199999999999999999998","0","0","0"
"528158","Business","0","0.666666666666666666668","0.5708333333333333333350","0.199999999999999999998","0","0","0"
"629952","Business","0","0.655555555555555556668","0.4555555555555555562500","0.200000000000000000000","0","0","0"
"521708","Business","0","0.666666666666666666668","0.5604166666666666666675","0.300000000000000000000","0","0","0"
"520265","Family","0","0.726666666666666666668","0.9729166666666666666675","0.120000000000000000000","0","0","0"
"512831","Business","0","0.633333333333333333332","0.4333333333333333333325","0.150000000000000000000","0","0","0"
"548123","Browser","1","0","0","0","0","0","0"
"586811","Family","0","0.666666666666666666668","0.8666666666666666666675","0.000000000000000000000","0","0","0"
"527346","Business","0","0.733333333333333333331","0.5500000000000000000000","0.000000000000000000000","0","0","0"
"585492","Business","0","0.966666666666666666668","0.4791666666666666666675","0.600000000000000000000","0","0","0"
"515516","Browser","1","0","0","0","0","0","0"
"553985","Business","0","0.755555555555555556667","0.4555555555555555562500","0.599999999999999999998","0","0","0"
"528281","Business","0","0.644444444444444443332","0.4569444444444444437500","0.240000000000000000000","0","0","0"
"523395","Business","0","0.666666666666666666668","0.4458333333333333341675","0.199999999999999999998","0","0","0"
"548872","New Customer","0","0.700000000000000000000","0.9000000000000000000000","0.600000000000000000000","1","0","0"
"454661","Business","0","0.766666666666666666667","0.4708333333333333333350","0.199999999999999999998","0","0","0"
"512193","Family","0","0.516666666666666666668","0.8791666666666666666675","0.000000000000000000000","0","0","0"
"499461","Business","0","0.966666666666666666668","0.4791666666666666666675","0.000000000000000000000","0","0","0"
"556019","Business","0","0.766666666666666666667","0.5708333333333333333350","0.000000000000000000000","0","0","0"
"469824","Business","0","0.666666666666666666668","0.4541666666666666666675","0.199999999999999999998","0","0","0"
"494590","Business","0","0.741666666666666666668","0.4541666666666666666675","0.450000000000000000000","0","0","0"
"559441","Business","0","0.816666666666666666668","0.5541666666666666666675","0.000000000000000000000","0","0","0"
"522276","Business","0","0.633333333333333333332","0.4208333333333333333325","0.000000000000000000000","0","0","0"
"651491","Business","0","0.775555555555555556668","0.4638888888888888895850","0.760000000000000000000","0","0","0"
"539493","Browser","1","0","0","0","0","0","0"
"534842","Business","0","0.666666666666666666668","0.5791666666666666666675","0.300000000000000000000","0","0","0"
"529602","Family","0","0.522222222222222223332","0.7888888888888888895825","0.599999999999999999998","0","0","0"
"550459","Business","0","0.816666666666666666668","0.4666666666666666666675","0.000000000000000000000","0","0","0"
"204997","Bargain Hunter","0","0.611111111111111110000","0.5194444444444444437500","0.700000000000000000000","0","0","0"
"559758","Family","0","0.700000000000000000000","1.0000000000000000000000","0.000000000000000000000","0","0","0"
"564596","Family","0","0.641666666666666666668","0.8447916666666666666675","0.000000000000000000000","0","0","0"
"494985","Frequent Flyer","0","0.666666666666666666668","0.4708333333333333333350","0.000000000000000000000","0","1","0"
"512443","Business","0","0.966666666666666666668","0.9666666666666666666675","0.300000000000000000000","0","0","0"
"474278","Browser","1","0","0","0","0","0","0"
"536099","Family","0","0.650000000000000000000","0.8687500000000000000000","0.150000000000000000000","0","0","0"
"561846","Business","0","0.708333333333333333332","0.5333333333333333333325","0.700000000000000000000","0","0","0"
"499366","Business","0","0.641666666666666666668","0.4322916666666666666675","0.150000000000000000000","0","0","0"
"584531","Family","0","0.666666666666666666668","0.9666666666666666666675","0.300000000000000000000","0","0","0"
"513714","Business","0","0.516666666666666666668","0.4791666666666666666675","0.000000000000000000000","0","0","0"
"510067","Family","0","0.666666666666666666668","0.9791666666666666666675","0.199999999999999999998","0","0","0"
"220725","Bargain Hunter","0","0.658333333333333333332","0.4677083333333333333325","0.700000000000000000000","0","0","0"
"549777","Family","0","0.666666666666666666668","0.9791666666666666666675","0.600000000000000000000","0","0","0"
"518041","New Customer","0","0.550000000000000000000","0.5000000000000000000000","0.600000000000000000000","1","0","0"
"606635","Business","0","0.816666666666666666668","0.4791666666666666666675","0.300000000000000000000","0","0","0"
"526445","Business","0","0.666666666666666666668","0.4666666666666666666675","0.000000000000000000000","0","0","0"
"566749","Browser","1","0","0","0","0","0","0"
"515409","Family","0","0.844444444444444443333","0.9402777777777777770825","0.199999999999999999998","0","0","0"
"577386","Business","0","0.800000000000000000000","0.4562500000000000000000","0.000000000000000000000","0","0","0"
"516556","Family","0","0.666666666666666666668","0.8791666666666666666675","0.000000000000000000000","0","0","0"
"501794","Business","0","0.741666666666666666668","0.5604166666666666666675","0.150000000000000000000","0","0","0"
"519853","Business","0","0.950000000000000000000","0.8687500000000000000000","0.300000000000000000000","0","0","0"
